	Country Name	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
36	Central Europe and the Baltics	428307000000.0	468825000000.0	528393000000.0	634139000000.0	763216000000.0	886850000000.0	1002930000000.0	1266810000000.0	1532960000000.0	1290900000000.0	1318170000000.0	1449340000000.0	1353320000000.0	1422760000000.0	1465930000000.0	1293060000000.0	1321560000000.0	1464530000000.0	1645460000000.0	1673860000000.0	1653250000000.0
37	Switzerland	279841000000.0	287227000000.0	310176000000.0	363063000000.0	405531000000.0	420545000000.0	443802000000.0	493537000000.0	570304000000.0	558200000000.0	603434000000.0	722038000000.0	692110000000.0	712748000000.0	734397000000.0	702150000000.0	695601000000.0	704479000000.0	735539000000.0	731767000000.0	752248000000.0
38	Channel Islands	6439703435.0	6232906290.0	6663669065.0	7332244898.0	8553643354.0	8827272727.0	9676172953.0	11514605842.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
39	Chile	77860932152.0	70979923960.0	69736811435.0	75643459840.0	99210392858.0	122965000000.0	154788000000.0	173606000000.0	179638000000.0	172389000000.0	218538000000.0	252252000000.0	267122000000.0	278384000000.0	260542000000.0	243919000000.0	250440000000.0	277035000000.0	297572000000.0	279385000000.0	252940000000.0
40	China	1211350000000.0	1339400000000.0	1470550000000.0	1660290000000.0	1955350000000.0	2285970000000.0	2752130000000.0	3550340000000.0	4594310000000.0	5101700000000.0	6087160000000.0	7551500000000.0	8532230000000.0	9570410000000.0	10475700000000.0	11061600000000.0	11233300000000.0	12310400000000.0	13894800000000.0	14279900000000.0	14722700000000.0
41	Cote d'Ivoire	16577533355.0	16810536884.0	18054384023.0	21251755294.0	23510577108.0	24036917017.0	25281414473.0	28760092035.0	34078243426.0	33886814907.0	34936305297.0	36693712825.0	36302305578.0	42760237561.0	48843008580.0	45814637971.0	47964234560.0	51588158718.0	58011466451.0	58539424930.0	61348579465.0
42	Cameroon	10566578953.0	10953485244.0	12417251816.0	15970315751.0	18826215278.0	19509850837.0	20910513975.0	23928251334.0	27715144580.0	27932971683.0	27507499709.0	30630912185.0	30155064574.0	33728622819.0	36386546918.0	32210232912.0	33814337900.0	36098550142.0	39973839065.0	39670977333.0	40804449726.0
43	Congo, Dem. Rep.	19088046306.0	7438189100.0	8728038525.0	8937567060.0	10297483481.0	11964484668.0	14451902468.0	16737071816.0	19788515874.0	18648373312.0	21565720044.0	25839749199.0	29306235826.0	32679745298.0	35909040266.0	37917704900.0	37134799975.0	38019265626.0	47146004587.0	50400747050.0	48716960860.0
44	Congo, Rep.	3227927593.0	2796704577.0	3034251042.0	3503723245.0	4656975223.0	6647357442.0	8065134528.0	8771102025.0	11602893043.0	9684321633.0	13135580695.0	15634897273.0	17693924573.0	17953617927.0	17889079958.0	11885478502.0	10215989995.0	11090177747.0	13670036996.0	12750339023.0	10187122341.0
45	Colombia	99886577331.0	98211749596.0	97963003805.0	94641378693.0	117082000000.0	145619000000.0	161619000000.0	206182000000.0	242187000000.0	232398000000.0	286563000000.0	334944000000.0	370921000000.0	382116000000.0	381112000000.0	293482000000.0	282825000000.0	311884000000.0	334198000000.0	323430000000.0	271438000000.0
