Country_Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Czech_Republic,61828166496,67808032980,82196001051,1.0009E+11,1.19814E+11,1.37143E+11,1.56264E+11,1.90184E+11,2.36816E+11,2.07434E+11,2.0907E+11,2.29563E+11,2.08858E+11,2.11686E+11,2.09359E+11,1.88033E+11,1.96272E+11,2.18629E+11,2.4895E+11,2.52498E+11,2.45339E+11,
Germany,1.94798E+12,1.94579E+12,2.07848E+12,2.50164E+12,2.81435E+12,2.84686E+12,2.9947E+12,3.42558E+12,3.74526E+12,3.41126E+12,3.39967E+12,3.74931E+12,3.52714E+12,3.7338E+12,3.88909E+12,3.35759E+12,3.46985E+12,3.69085E+12,3.97729E+12,3.88833E+12,3.84641E+12,
Djibouti,551230861.9,572417440.8,591122039.6,622044665.5,666072101.8,708633194.7,768873684,847918929.1,999105339.3,1049110685,1128611700,1239144502,1353632942,2042817163,2214679081,2430274292,2603540257,2751445574,3012803457,3324615549,3384385217,
Dominica,333470370.4,340203703.7,333196296.3,343311111.1,367200000,364255555.6,390251851.9,421374074.1,458188888.9,489074074.1,493825925.9,501025925.9,485996296.3,498296296.3,520207407.4,540737037,576229629.6,519837037,550622222.2,611537037,504214814.8,
Denmark,1.64159E+11,1.64791E+11,1.78635E+11,2.18096E+11,2.51373E+11,2.64467E+11,2.82885E+11,3.19423E+11,3.53361E+11,3.21241E+11,3.21995E+11,3.44003E+11,3.27149E+11,3.43584E+11,3.52994E+11,3.02673E+11,3.13116E+11,3.32121E+11,3.56841E+11,3.47561E+11,3.56085E+11,
Dominican_Republic,24305717542,25601765401,27137508657,21403167848,22322395368,35777570136,37879869898,43965420072,48122547177,48261033298,53860175556,58029750746,60681537196,62682163837,67179914027,71164825257,75704720190,79997975622,85555378043,88941299734,78844702329,
Algeria,54790392746,54744712815,56760355865,67863828413,85332581189,1.03198E+11,1.17027E+11,1.34977E+11,1.71001E+11,1.37211E+11,1.61207E+11,2.00013E+11,2.09059E+11,2.09755E+11,2.1381E+11,1.65979E+11,1.60034E+11,1.70097E+11,1.74911E+11,1.71767E+11,1.45009E+11,
East_Asia_&_Pacific_excluding_high_income,1.73454E+12,1.84732E+12,2.0442E+12,2.31161E+12,2.68221E+12,3.10671E+12,3.74056E+12,4.72762E+12,5.97867E+12,6.48436E+12,7.85794E+12,9.60821E+12,1.07191E+13,1.18283E+13,1.27512E+13,1.32812E+13,1.35602E+13,1.48193E+13,1.6575E+13,1.71354E+13,1.74489E+13,
Earlydemographic_dividend,3.38244E+12,3.3528E+12,3.25989E+12,3.62814E+12,4.22483E+12,4.92704E+12,5.62913E+12,6.66649E+12,7.52037E+12,7.25998E+12,8.80025E+12,9.65188E+12,1.00962E+13,1.02509E+13,1.06034E+13,1.00824E+13,1.03078E+13,1.11376E+13,1.12148E+13,1.15273E+13,1.06682E+13,
East_Asia_&_Pacific,8.37329E+12,7.78715E+12,7.90972E+12,8.69641E+12,9.75366E+12,1.04062E+13,1.10282E+13,1.2322E+13,1.42067E+13,1.46195E+13,1.70323E+13,1.97519E+13,2.11318E+13,2.13676E+13,2.20384E+13,2.19514E+13,2.27207E+13,2.42685E+13,2.64163E+13,2.69815E+13,2.70974E+13,
Europe_&_Central_Asia_excluding_high_income,7.00114E+11,6.95454E+11,7.96769E+11,1.00502E+12,1.33099E+12,1.68805E+12,2.07208E+12,2.68405E+12,3.32469E+12,2.6119E+12,3.11937E+12,3.85333E+12,4.08533E+12,4.34102E+12,4.04579E+12,3.09913E+12,2.96586E+12,3.32988E+12,3.42399E+12,3.49393E+12,3.2224E+12,
Europe_&_Central_Asia,1.00626E+13,1.0163E+13,1.11335E+13,1.35375E+13,1.57769E+13,1.67845E+13,1.81784E+13,2.12457E+13,2.33753E+13,2.05611E+13,2.10258E+13,2.33141E+13,2.24623E+13,2.34812E+13,2.38118E+13,2.05133E+13,2.04537E+13,2.16801E+13,2.3224E+13,2.2934E+13,2.21216E+13,
Ecuador,18327764882,24468324000,28548945000,32432858000,36591661000,41507085000,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,1.01726E+11,99290381000,99937696000,1.04296E+11,1.07562E+11,1.08108E+11,98808010000,
Egypt,99838543960,96684636119,85146067416,80288461538,78782467532,89600665557,1.07426E+11,1.30438E+11,1.62818E+11,1.89147E+11,2.18984E+11,2.3599E+11,2.79117E+11,2.88434E+11,3.05595E+11,3.29367E+11,3.32442E+11,2.35734E+11,2.49713E+11,3.03081E+11,3.65253E+11,
Euro_area,6.4955E+12,6.59632E+12,7.19993E+12,8.86229E+12,1.01604E+13,1.05235E+13,1.1184E+13,1.28791E+13,1.41583E+13,1.29385E+13,1.26413E+13,1.36374E+13,1.26382E+13,1.31954E+13,1.35089E+13,1.16744E+13,1.19726E+13,1.26775E+13,1.36989E+13,1.34136E+13,1.3021E+13,
Eritrea,706370815.6,752368495.5,729321366.7,870247703.2,1109054005,1098425901,1211161880,1317974491,1380188800,1856695551,1589515447,2065001626,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
Spain,5.98363E+11,6.2783E+11,7.08757E+11,9.07492E+11,1.06906E+12,1.15372E+12,1.2604E+12,1.474E+12,1.63186E+12,1.49147E+12,1.42211E+12,1.48071E+12,1.32474E+12,1.35514E+12,1.37122E+12,1.1956E+12,1.23291E+12,1.31254E+12,1.42099E+12,1.39305E+12,1.28148E+12,
Estonia,5686579748,6254649539,7367975888,9874013098,12145911801,14106790200,17022870405,22449129483,24341678629,19633031398,19523477326,23213994093,23019150071,25115753366,26634083965,22890762090,24072829277,26924385103,30489500905,31045591753,30650285472,
Ethiopia,8242392104,8231326016,7850809498,8623691300,10131187261,12401139454,15280861835,19707616773,27066912635,32437389116,29933790334,31952763089,43310721414,47648211133,55612228234,64589334979,74296618481,81770791971,84269348327,95912590628,1.07645E+11,
European_Union,7.2761E+12,7.39382E+12,8.08384E+12,9.93188E+12,1.1419E+13,1.19108E+13,1.27139E+13,1.47288E+13,1.62976E+13,1.47638E+13,1.45576E+13,1.57595E+13,1.46362E+13,1.52997E+13,1.56521E+13,1.35519E+13,1.38933E+13,1.4766E+13,1.59782E+13,1.56894E+13,1.52919E+13,
Fragile_and_conflict_affected_situations,5.01197E+11,4.93643E+11,4.80158E+11,4.97905E+11,6.26603E+11,7.85464E+11,9.68117E+11,1.18189E+12,1.50865E+12,1.43929E+12,1.68911E+12,1.53948E+12,1.73813E+12,1.80653E+12,1.9587E+12,1.56034E+12,1.40779E+12,1.44015E+12,1.57283E+12,1.66177E+12,1.50864E+12,
Finland,1.2602E+11,1.29533E+11,1.40404E+11,1.71652E+11,1.97479E+11,2.04885E+11,2.17089E+11,2.56378E+11,2.85716E+11,2.53498E+11,2.49424E+11,2.75604E+11,2.5829E+11,2.71362E+11,2.74863E+11,2.34534E+11,2.40771E+11,2.55648E+11,2.75715E+11,2.68508E+11,2.69595E+11,
Fiji,1678239218,1652464201,1833279985,2300453634,2708078477,2980484920,3076305453,3378314600,3523185920,2870624636,3140508836,3774530616,3972012571,4190143206,4856963230,4682546863,4930204230,5353404422,5581371848,5496264766,4533883782,
France,1.36564E+12,1.37766E+12,1.50141E+12,1.84454E+12,2.11963E+12,2.19695E+12,2.32054E+12,2.66059E+12,2.9303E+12,2.70089E+12,2.64519E+12,2.86516E+12,2.68367E+12,2.81188E+12,2.85596E+12,2.43919E+12,2.47296E+12,2.59515E+12,2.79096E+12,2.72887E+12,2.63032E+12,
