Index	Rank	Country	Gold	Silver	Bronze	Total_Medals	Nominal_GDP_2020	Nominal_GDP_2019	Nominal_GDP_2018	Nominal_GDP_2017	Nominal_GDP_2016	Nominal_GDP_2015	Nominal_GDP_2014	Nominal_GDP_2013	Nominal_GDP_2012	Nominal_GDP_2011	Nominal_GDP_2010	Nominal_GDP_2009	Nominal_GDP_2008	Nominal_GDP_2007	Nominal_GDP_2006	Nominal_GDP_2005	Nominal_GDP_2004	Nominal_GDP_2003	Nominal_GDP_2002	Nominal_GDP_2001	Population_2020	Population_2019	Population_2018	Population_2017	Population_2016	Population_2015	Population_2014	Population_2013	Population_2012	Population_2011	Population_2010	Population_2009	Population_2008	Population_2007	Population_2006	Population_2005	Population_2004	Population_2003	Population_2002	Population_2001
20	21	Jamaica	4	1	4	9	13812425037.0	15830768550.0	15730793853.0	14808989993.0	14077109397.0	14188935948.0	13899228824.0	14264202737.0	14807086889.0	14444655300.0	13220556883.0	12120460873.0	13709402085.0	12799593018.0	11930171468.0	11243868486.0	10174664854.0	9430230564.0	9719017926.0	9194717836.0	2961161.0	2948277.0	2934853.0	2920848.0	2906242.0	2891024.0	2875137.0	2858710.0	2842128.0	2825932.0	2810464.0	2795839.0	2781869.0	2768229.0	2754414.0	2740000.0	2725017.0	2709438.0	2692843.0	2674706.0
21	22	Spain	3	8	6	17	1281480000000.0	1393050000000.0	1420990000000.0	1312540000000.0	1232910000000.0	1195600000000.0	1371220000000.0	1355140000000.0	1324740000000.0	1480710000000.0	1422110000000.0	1491470000000.0	1631860000000.0	1474000000000.0	1260400000000.0	1153720000000.0	1069060000000.0	907492000000.0	708757000000.0	627830000000.0	47363419.0	47134837.0	46797754.0	46593236.0	46484062.0	46444832.0	46480882.0	46620045.0	46773055.0	46742697.0	46576897.0	46362946.0	45954106.0	45226803.0	44397319.0	43653155.0	42921895.0	42187645.0	41431558.0	40850412.0
22	23	Sweden	3	6	0	9	541220000000.0	533880000000.0	555455000000.0	541019000000.0	515655000000.0	505104000000.0	581964000000.0	586842000000.0	552484000000.0	574094000000.0	495813000000.0	436537000000.0	517706000000.0	491253000000.0	423093000000.0	392218000000.0	385118000000.0	334337000000.0	266849000000.0	242396000000.0	10353442.0	10278887.0	10175214.0	10057698.0	9923085.0	9799186.0	9696110.0	9600379.0	9519374.0	9449213.0	9378126.0	9298515.0	9219637.0	9148092.0	9080505.0	9029572.0	8993531.0	8958229.0	8924958.0	8895960.0
23	24	Switzerland	3	4	6	13	752248000000.0	731767000000.0	735539000000.0	704479000000.0	695601000000.0	702150000000.0	734397000000.0	712748000000.0	692110000000.0	722038000000.0	603434000000.0	558200000000.0	570304000000.0	493537000000.0	443802000000.0	420545000000.0	405531000000.0	363063000000.0	310176000000.0	287227000000.0	8636561.0	8575280.0	8514329.0	8451840.0	8373338.0	8282396.0	8188649.0	8089346.0	7996861.0	7912398.0	7824909.0	7743831.0	7647675.0	7551117.0	7483934.0	7437115.0	7389625.0	7339001.0	7284753.0	7229854.0
24	25	Denmark	3	4	4	11	356085000000.0	347561000000.0	356841000000.0	332121000000.0	313116000000.0	302673000000.0	352994000000.0	343584000000.0	327149000000.0	344003000000.0	321995000000.0	321241000000.0	353361000000.0	319423000000.0	282885000000.0	264467000000.0	251373000000.0	218096000000.0	178635000000.0	164791000000.0	5831404.0	5814422.0	5793636.0	5764980.0	5728010.0	5683483.0	5643475.0	5614932.0	5591572.0	5570572.0	5547683.0	5523095.0	5493621.0	5461438.0	5437272.0	5419432.0	5404523.0	5390574.0	5375931.0	5358783.0
25	26	Croatia	3	3	2	8	57203783203.0	62246206341.0	62247874949.0	56214427431.0	52295158344.0	50163192883.0	58330289757.0	58889082315.0	57192346923.0	63169910822.0	60426018629.0	63084004705.0	70750646248.0	60542673503.0	50860788253.0	45780237257.0	41958833541.0	34985749883.0	27074550258.0	23273640257.0	4047680.0	4065253.0	4087843.0	4124531.0	4174349.0	4203604.0	4238389.0	4255689.0	4267558.0	4280622.0	4295427.0	4305181.0	4309705.0	4310217.0	4311159.0	4310145.0	4304600.0	4303399.0	4302174.0	4299642.0
26	27	Iran	3	2	2	7	203471000000.0	258245000000.0	294357000000.0	445345000000.0	417984000000.0	384951000000.0	432687000000.0	460293000000.0	598868000000.0	580765000000.0	486808000000.0	416397000000.0	412336000000.0	349882000000.0	266299000000.0	226452000000.0	190043000000.0	153545000000.0	128627000000.0	126879000000.0	83992953.0	82913893.0	81800204.0	80673888.0	79563991.0	78492208.0	77465769.0	76481963.0	75539881.0	74634959.0	73762519.0	72924833.0	72120608.0	71336476.0	70554756.0	69762345.0	68951279.0	68122947.0	67284801.0	66449111.0
27	28	Serbia	3	1	5	9	53335016425.0	51514222382.0	50640650221.0	44179055280.0	40692643373.0	39655958843.0	47062206678.0	48394239475.0	43309252921.0	49258136129.0	41819468692.0	45162894381.0	52194221469.0	43170990616.0	32482070360.0	27683225959.0	26141968161.0	22482365322.0	17120906918.0	12960538724.0	6899126.0	6945235.0	6982604.0	7020858.0	7058322.0	7095383.0	7130576.0	7164132.0	7199077.0	7234099.0	7291436.0	7320807.0	7350222.0	7381579.0	7411569.0	7440769.0	7463157.0	7480591.0	7496522.0	7503433.0
28	29	Belgium	3	1	3	7	521861000000.0	535289000000.0	543274000000.0	502765000000.0	476063000000.0	462336000000.0	535390000000.0	521791000000.0	496153000000.0	523330000000.0	481421000000.0	483254000000.0	517328000000.0	470922000000.0	408260000000.0	385715000000.0	369215000000.0	318083000000.0	258384000000.0	236746000000.0	11544241.0	11488980.0	11427054.0	11375158.0	11331422.0	11274196.0	11209057.0	11159407.0	11106932.0	11038264.0	10895586.0	10796493.0	10709973.0	10625700.0	10547958.0	10478617.0	10421137.0	10376133.0	10332785.0	10286570.0
29	30	Bulgaria	3	1	2	6	69889347433.0	68915416142.0	66363422450.0	59199447421.0	53953897624.0	50781996713.0	57082011260.0	55810138436.0	54300857424.0	57678241024.0	50682061053.0	52023504656.0	54438966420.0	44405101470.0	34379808889.0	29869283400.0	26157894737.0	21144983552.0	16402846413.0	14183497963.0	6934015.0	6975761.0	7025037.0	7075947.0	7127822.0	7177991.0	7223938.0	7265115.0	7305888.0	7348328.0	7395599.0	7444443.0	7492561.0	7545338.0	7601022.0	7658972.0	7716860.0	7775327.0	7837161.0	8009142.0
30	31	Slovenia	3	1	1	5	53589609581.0	54178877606.0	54163591695.0	48589100043.0	44766722791.0	43107506024.0	49997186439.0	48415657265.0	46577793184.0	51583869785.0	48208240226.0	50567734886.0	55779427740.0	48067401207.0	39481045038.0	36206395971.0	34414784504.0	29634713641.0	23489890274.0	20876309970.0	2102419.0	2088385.0	2073894.0	2066388.0	2065042.0	2063531.0	2061980.0	2059953.0	2057159.0	2052843.0	2048583.0	2039669.0	2021316.0	2018122.0	2006868.0	2000474.0	1997012.0	1995733.0	1994530.0	1992060.0
31	32	Uzbekistan	3	0	2	5	59929951114.0	59907674027.0	52633143808.0	62081323299.0	86138288615.0	86196265192.0	80845384375.0	73180036692.0	67517349212.0	60178909297.0	49765676402.0	33689223673.0	29549438884.0	22311393928.0	17330833853.0	14307509839.0	12030023548.0	10134453435.0	9687788513.0	11401421329.0	34232050.0	33580350.0	32956100.0	32388600.0	31847900.0	31298900.0	30757700.0	30243200.0	29774500.0	29339400.0	28562400.0	27767400.0	27302800.0	26868000.0	26488250.0	26167000.0	25864350.0	25567650.0	25271850.0	24964450.0
32	33	Georgia	2	5	1	8	15846489611.0	17477255562.0	17599700091.0	16242916916.0	15141758567.0	14953950557.0	17627003455.0	17189551521.0	16488403076.0	15107441447.0	12243505583.0	10766836277.0	12795076469.0	10172882371.0	7745394293.0	6410823633.0	5125365192.0	3991284895.0	3395728014.0	3219488664.0	3722716.0	3720161.0	3726549.0	3728004.0	3727505.0	3725276.0	3719414.0	3717668.0	3728874.0	3756441.0	3786695.0	3814419.0	3848449.0	3860158.0	3880347.0	3902469.0	3927340.0	3951736.0	3978515.0	4014373.0
33	34	Taiwan	2	4	6	12																																								
34	35	Turkey	2	2	9	13	719955000000.0	761004000000.0	778472000000.0	858996000000.0	869693000000.0	864317000000.0	938953000000.0	957783000000.0	880556000000.0	838763000000.0	776993000000.0	649273000000.0	770462000000.0	681337000000.0	557058000000.0	506308000000.0	408876000000.0	314592000000.0	240253000000.0	201751000000.0	84339067.0	83429607.0	82340090.0	81116451.0	79827868.0	78529413.0	77229262.0	75925454.0	74651046.0	73443254.0	72326992.0	71321406.0	70418612.0	69581854.0	68756809.0	67903461.0	67010930.0	66089402.0	65145357.0	64192243.0
35	36	Greece	2	1	1	4	188835000000.0	205144000000.0	212049000000.0	199844000000.0	193148000000.0	195684000000.0	235458000000.0	238908000000.0	242029000000.0	282996000000.0	297125000000.0	331309000000.0	355909000000.0	318903000000.0	273547000000.0	247875000000.0	240964000000.0	202370000000.0	154564000000.0	136309000000.0	10700556.0	10721582.0	10732882.0	10754679.0	10775971.0	10820883.0	10892413.0	10965211.0	11045011.0	11104899.0	11121341.0	11107017.0	11077841.0	11048473.0	11020362.0	10987314.0	10955141.0	10928070.0	10902022.0	10862132.0
36	36	Uganda	2	1	1	4	37600368181.0	35353060634.0	32927025573.0	30744473912.0	29203988815.0	32387183845.0	32612397758.0	28915786997.0	27305915761.0	27871725206.0	26673441667.0	25127805566.0	14440404021.0	11902564401.0	9977647645.0	9239221859.0	7939487474.0	6606884391.0	6178563591.0	5840503869.0	45741000.0	44269587.0	42729032.0	41166588.0	39649173.0	38225447.0	36911530.0	35694519.0	34558700.0	33476772.0	32428164.0	31411096.0	30431734.0	29486335.0	28571475.0	27684590.0	26821300.0	25980547.0	25167261.0	24388974.0
37	38	Ecuador	2	1	0	3	98808010000.0	108108000000.0	107562000000.0	104296000000.0	99937696000.0	99290381000.0	101726000000.0	95129659000.0	87924544000.0	79276664000.0	69555367000.0	62519686000.0	61762635000.0	51007777000.0	46802044000.0	41507085000.0	36591661000.0	32432858000.0	28548945000.0	24468324000.0	17643060.0	17373657.0	17084359.0	16785356.0	16491116.0	16212022.0	15951832.0	15707473.0	15474099.0	15243885.0	15011114.0	14774412.0	14535740.0	14296554.0	14059379.0	13825839.0	13596390.0	13369678.0	13143465.0	12914660.0
38	39	Israel	2	0	2	4	407101000000.0	397935000000.0	373641000000.0	355277000000.0	319024000000.0	300078000000.0	310945000000.0	294167000000.0	258417000000.0	262294000000.0	234655000000.0	207953000000.0	216712000000.0	179162000000.0	154145000000.0	142657000000.0	135571000000.0	127047000000.0	121148000000.0	130816000000.0	9215100.0	9054000.0	8882800.0	8713300.0	8546000.0	8380100.0	8215700.0	8059500.0	7910500.0	7765800.0	7623600.0	7485600.0	7308800.0	7180100.0	7053700.0	6930100.0	6809000.0	6689700.0	6570000.0	6439000.0
39	39	Ireland	2	0	2	4	425889000000.0	399122000000.0	385042000000.0	335431000000.0	298928000000.0	291580000000.0	258970000000.0	238279000000.0	225497000000.0	238976000000.0	221876000000.0	236443000000.0	275447000000.0	270079000000.0	232181000000.0	211877000000.0	194372000000.0	164671000000.0	128596000000.0	109347000000.0	4985674.0	4934340.0	4867316.0	4807388.0	4755335.0	4701957.0	4657740.0	4623816.0	4599533.0	4580084.0	4560155.0	4535375.0	4489544.0	4398942.0	4273591.0	4159914.0	4070262.0	3996521.0	3931947.0	3866243.0
