Index	Rank	Country	Gold	Silver	Bronze	Total_Medals	Nominal_GDP_2020	Nominal_GDP_2019	Nominal_GDP_2018	Nominal_GDP_2017	Nominal_GDP_2016	Nominal_GDP_2015	Nominal_GDP_2014	Nominal_GDP_2013	Nominal_GDP_2012	Nominal_GDP_2011	Nominal_GDP_2010	Nominal_GDP_2009	Nominal_GDP_2008	Nominal_GDP_2007	Nominal_GDP_2006	Nominal_GDP_2005	Nominal_GDP_2004	Nominal_GDP_2003	Nominal_GDP_2002	Nominal_GDP_2001
28	29	Belgium	3	1	3	7	521861000000.0	535289000000.0	543274000000.0	502765000000.0	476063000000.0	462336000000.0	535390000000.0	521791000000.0	496153000000.0	523330000000.0	481421000000.0	483254000000.0	517328000000.0	470922000000.0	408260000000.0	385715000000.0	369215000000.0	318083000000.0	258384000000.0	236746000000.0
29	30	Bulgaria	3	1	2	6	69889347433.0	68915416142.0	66363422450.0	59199447421.0	53953897624.0	50781996713.0	57082011260.0	55810138436.0	54300857424.0	57678241024.0	50682061053.0	52023504656.0	54438966420.0	44405101470.0	34379808889.0	29869283400.0	26157894737.0	21144983552.0	16402846413.0	14183497963.0
30	31	Slovenia	3	1	1	5	53589609581.0	54178877606.0	54163591695.0	48589100043.0	44766722791.0	43107506024.0	49997186439.0	48415657265.0	46577793184.0	51583869785.0	48208240226.0	50567734886.0	55779427740.0	48067401207.0	39481045038.0	36206395971.0	34414784504.0	29634713641.0	23489890274.0	20876309970.0
31	32	Uzbekistan	3	0	2	5	59929951114.0	59907674027.0	52633143808.0	62081323299.0	86138288615.0	86196265192.0	80845384375.0	73180036692.0	67517349212.0	60178909297.0	49765676402.0	33689223673.0	29549438884.0	22311393928.0	17330833853.0	14307509839.0	12030023548.0	10134453435.0	9687788513.0	11401421329.0
32	33	Georgia	2	5	1	8	15846489611.0	17477255562.0	17599700091.0	16242916916.0	15141758567.0	14953950557.0	17627003455.0	17189551521.0	16488403076.0	15107441447.0	12243505583.0	10766836277.0	12795076469.0	10172882371.0	7745394293.0	6410823633.0	5125365192.0	3991284895.0	3395728014.0	3219488664.0
33	34	Taiwan	2	4	6	12																				
34	35	Turkey	2	2	9	13	719955000000.0	761004000000.0	778472000000.0	858996000000.0	869693000000.0	864317000000.0	938953000000.0	957783000000.0	880556000000.0	838763000000.0	776993000000.0	649273000000.0	770462000000.0	681337000000.0	557058000000.0	506308000000.0	408876000000.0	314592000000.0	240253000000.0	201751000000.0
35	36	Greece	2	1	1	4	188835000000.0	205144000000.0	212049000000.0	199844000000.0	193148000000.0	195684000000.0	235458000000.0	238908000000.0	242029000000.0	282996000000.0	297125000000.0	331309000000.0	355909000000.0	318903000000.0	273547000000.0	247875000000.0	240964000000.0	202370000000.0	154564000000.0	136309000000.0
36	36	Uganda	2	1	1	4	37600368181.0	35353060634.0	32927025573.0	30744473912.0	29203988815.0	32387183845.0	32612397758.0	28915786997.0	27305915761.0	27871725206.0	26673441667.0	25127805566.0	14440404021.0	11902564401.0	9977647645.0	9239221859.0	7939487474.0	6606884391.0	6178563591.0	5840503869.0
37	38	Ecuador	2	1	0	3	98808010000.0	108108000000.0	107562000000.0	104296000000.0	99937696000.0	99290381000.0	101726000000.0	95129659000.0	87924544000.0	79276664000.0	69555367000.0	62519686000.0	61762635000.0	51007777000.0	46802044000.0	41507085000.0	36591661000.0	32432858000.0	28548945000.0	24468324000.0
38	39	Israel	2	0	2	4	407101000000.0	397935000000.0	373641000000.0	355277000000.0	319024000000.0	300078000000.0	310945000000.0	294167000000.0	258417000000.0	262294000000.0	234655000000.0	207953000000.0	216712000000.0	179162000000.0	154145000000.0	142657000000.0	135571000000.0	127047000000.0	121148000000.0	130816000000.0
39	39	Ireland	2	0	2	4	425889000000.0	399122000000.0	385042000000.0	335431000000.0	298928000000.0	291580000000.0	258970000000.0	238279000000.0	225497000000.0	238976000000.0	221876000000.0	236443000000.0	275447000000.0	270079000000.0	232181000000.0	211877000000.0	194372000000.0	164671000000.0	128596000000.0	109347000000.0
40	41	Qatar	2	0	1	3	144411000000.0	176371000000.0	183335000000.0	161099000000.0	151732000000.0	161740000000.0	206225000000.0	198728000000.0	186834000000.0	167775000000.0	125122000000.0	97798351648.0	115270000000.0	79712087912.0	60882142857.0	44530494505.0	31734065934.0	23533791209.0	19363736264.0	17538461538.0
41	42	Bahamas	2	0	0	2	9907500000.0	13164400000.0	12837800000.0	12359700000.0	11992600000.0	11890600000.0	11142900000.0	10494600000.0	10720500000.0	10070450000.0	10095760000.0	9981960000.0	10526000000.0	10618340000.0	10167250000.0	9836200000.0	9055290000.0	8870090000.0	8881160000.0	8317830000.0
42	42	Kosovo	2	0	0	2	7716925356.0	7899879086.0	7878508503.0	7180813376.0	6682832632.0	6295820482.0	7074657898.0	6735731173.0	6163785173.0	6341737194.0	5344014318.0	5015894693.0	5181776769.0							
43	44	Ukraine	1	6	12	19	155499000000.0	153883000000.0	130891000000.0	112091000000.0	93355993629.0	91030959455.0	133503000000.0	190499000000.0	182592000000.0	169333000000.0	141210000000.0	121553000000.0	188111000000.0	148734000000.0	111885000000.0	89239370109.0	67220154164.0	52010238716.0	43956369917.0	39309580983.0
44	45	Belarus	1	3	3	7	60258239056.0	64409647194.0	60031262269.0	54726595249.0	47722657821.0	56454734397.0	78813839984.0	75527984234.0	65685102555.0	61757788945.0	57222490769.0	50874078052.0	60763483146.0	45277399814.0	36954312354.0	30207567317.0	23144351852.0	17827791321.0	14594249023.0	12354820144.0
45	46	Venezuela	1	3	0	4							482359000000.0	371005000000.0	381286000000.0	316482000000.0	393192000000.0	329788000000.0	315953000000.0	230364000000.0	183478000000.0	145510000000.0	112453000000.0	83620628582.0	92893587734.0	122904000000.0
46	46	Romania	1	3	0	4	248716000000.0	249882000000.0	241457000000.0	211695000000.0	188129000000.0	177729000000.0	199959000000.0	190801000000.0	170636000000.0	183327000000.0	166309000000.0	174104000000.0	214314000000.0	174585000000.0	122023000000.0	98452791983.0	74972669057.0	57806506024.0	46066101951.0	40394824679.0
47	48	India	1	2	4	7	2660250000000.0	2870500000000.0	2701110000000.0	2651470000000.0	2294800000000.0	2103590000000.0	2039130000000.0	1856720000000.0	1827640000000.0	1823050000000.0	1675620000000.0	1341890000000.0	1198900000000.0	1216740000000.0	940260000000.0	820382000000.0	709149000000.0	607699000000.0	514938000000.0	485441000000.0
48	49	Hong_Kong	1	2	3	6	346586000000.0	363016000000.0	361692000000.0	341244000000.0	320838000000.0	309384000000.0	291459000000.0	275697000000.0	262629000000.0	248514000000.0	228638000000.0	214046000000.0	219280000000.0	211597000000.0	193536000000.0	181570000000.0	169100000000.0	161385000000.0	166349000000.0	169403000000.0
49	50	Philippines	1	2	1	4	361489000000.0	376823000000.0	346842000000.0	328481000000.0	318627000000.0	306446000000.0	297483000000.0	283903000000.0	261921000000.0	234217000000.0	208369000000.0	175975000000.0	181625000000.0	155980000000.0	127653000000.0	107420000000.0	95002028505.0	87039145965.0	84307291974.0	78921234457.0
50	50	Slovakia	1	2	1	4	105173000000.0	105284000000.0	105613000000.0	95393515078.0	89674927723.0	88636928905.0	101089000000.0	98569320343.0	94253181330.0	99492917849.0	90801178162.0	89399303222.0	100880000000.0	86563986799.0	70767338922.0	62808723477.0	57437444469.0	46919965224.0	35297794386.0	30778781607.0
51	52	South_Africa	1	2	0	3	335442000000.0	387935000000.0	404842000000.0	381449000000.0	323586000000.0	346710000000.0	381199000000.0	400886000000.0	434401000000.0	458202000000.0	417365000000.0	329753000000.0	316132000000.0	333075000000.0	303861000000.0	288868000000.0	255807000000.0	197020000000.0	129088000000.0	135430000000.0
52	53	Austria	1	1	5	7	433258000000.0	445012000000.0	455168000000.0	417261000000.0	395837000000.0	381971000000.0	442585000000.0	430191000000.0	409402000000.0	431685000000.0	392275000000.0	401759000000.0	432052000000.0	389186000000.0	336280000000.0	316092000000.0	301458000000.0	262274000000.0	214395000000.0	197509000000.0
53	54	Egypt	1	1	4	6	365253000000.0	303081000000.0	249713000000.0	235734000000.0	332442000000.0	329367000000.0	305595000000.0	288434000000.0	279117000000.0	235990000000.0	218984000000.0	189147000000.0	162818000000.0	130438000000.0	107426000000.0	89600665557.0	78782467532.0	80288461538.0	85146067416.0	96684636119.0
54	55	Indonesia	1	1	3	5	1058420000000.0	1119090000000.0	1042270000000.0	1015620000000.0	931877000000.0	860854000000.0	890815000000.0	912524000000.0	917870000000.0	892969000000.0	755094000000.0	539580000000.0	510229000000.0	432217000000.0	364571000000.0	285869000000.0	256837000000.0	234772000000.0	195661000000.0	160447000000.0
55	56	Portugal	1	1	2	4	228539000000.0	239987000000.0	242313000000.0	221358000000.0	206426000000.0	199394000000.0	229902000000.0	226434000000.0	216224000000.0	245118000000.0	238113000000.0	244668000000.0	263416000000.0	240496000000.0	208756000000.0	197254000000.0	189382000000.0	165226000000.0	134796000000.0	121604000000.0
56	56	Ethiopia	1	1	2	4	107645000000.0	95912590628.0	84269348327.0	81770791971.0	74296618481.0	64589334979.0	55612228234.0	47648211133.0	43310721414.0	31952763089.0	29933790334.0	32437389116.0	27066912635.0	19707616773.0	15280861835.0	12401139454.0	10131187261.0	8623691300.0	7850809498.0	8231326016.0
57	58	Tunisia	1	1	0	2	41620349986.0	41804581484.0	42570270107.0	42163974956.0	44360775649.0	45780069047.0	50271342086.0	48683848564.0	47311196335.0	48122838145.0	46206331261.0	43454935940.0	44860969077.0	38914078352.0	34377310293.0	32273007554.0	31183059012.0	27453007373.0	23142153760.0	22066031834.0
58	59	Latvia	1	0	1	2	33707320816.0	34308783825.0	34429023435.0	30483806018.0	28083597512.0	27263090547.0	31386896487.0	30204783462.0	28169902669.0	27474380566.0	23956163077.0	26410909091.0	35854274229.0	31054350978.0	21570076499.0	17003459863.0	14435700533.0	11771975157.0	9557031605.0	8362398702.0
59	59	Fiji	1	0	1	2	4533883782.0	5496264766.0	5581371848.0	5353404422.0	4930204230.0	4682546863.0	4856963230.0	4190143206.0	3972012571.0	3774530616.0	3140508836.0	2870624636.0	3523185920.0	3378314600.0	3076305453.0	2980484920.0	2708078477.0	2300453634.0	1833279985.0	1652464201.0
60	59	Thailand	1	0	1	2	501644000000.0	544264000000.0	506611000000.0	456357000000.0	413366000000.0	401296000000.0	407339000000.0	420333000000.0	397558000000.0	370819000000.0	341105000000.0	281710000000.0	291383000000.0	262942000000.0	221758000000.0	189319000000.0	172896000000.0	152281000000.0	134301000000.0	120296000000.0
61	59	Estonia	1	0	1	2	30650285472.0	31045591753.0	30489500905.0	26924385103.0	24072829277.0	22890762090.0	26634083965.0	25115753366.0	23019150071.0	23213994093.0	19523477326.0	19633031398.0	24341678629.0	22449129483.0	17022870405.0	14106790200.0	12145911801.0	9874013098.0	7367975888.0	6254649539.0
62	63	Puerto_Rico	1	0	0	1	103138000000.0	104915000000.0	100925000000.0	103446000000.0	104337000000.0	103376000000.0	102446000000.0	102450000000.0	101565000000.0	100352000000.0	98381300000.0	96385600000.0	93639300000.0	89524131600.0	87276164400.0	83914521300.0	80322313000.0	74827400000.0	71623500000.0	69208400000.0
63	63	Bermuda	1	0	0	1	6842700000.0	7484113000.0	7224329000.0	7142316000.0	6899911000.0	6654541000.0	6413988000.0	6465756000.0	6378188000.0	6312691000.0	6634526000.0	6656000000.0	6980000000.0	6767000000.0	6144000000.0	4868136000.0	4484703000.0	4186525000.0	3937228000.0	3680483000.0
64	63	Morocco	1	0	0	1	114725000000.0	119870000000.0	118096000000.0	109683000000.0	103312000000.0	101180000000.0	110081000000.0	106826000000.0	98266306615.0	101370000000.0	93216746662.0	92897320376.0	92507257784.0	79041294874.0	68640825481.0	62343022651.0	59626020162.0	52064058834.0	42236836821.0	39459581217.0
