Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Antigua and Barbuda,10872.29295,10367.31961,10401.05088,10797.95106,11446.96914,12557.54785,13995.80442,15622.69287,16044.1058,14160.562,13048.96058,12746.63347,13272.73494,12910.59063,13501.58092,14285.32978,15198.74297,15383.5764,16679.59166,17376.64968,13992.74448
Australia,21697.70848,19527.32358,20117.78889,23492.40517,30513.94174,34080.9999,36117.48798,41001.14298,49654.9106,42783.32257,52087.97229,62574.1457,68027.84171,68156.62792,62511.69059,56707.02208,49881.76371,53934.25018,57180.7794,54875.28596,51680.31652
Austria,24625.60072,24558.76368,26527.59309,32294.04886,36889.23351,38417.45779,40669.32696,46915.3374,51919.98358,48153.32402,46903.76159,51442.27625,48564.91734,50731.12725,51786.37717,44195.81759,45307.58786,47429.15846,51486.5755,50114.40111,48588.65938
Azerbaijan,655.1199452,703.6838434,763.080638,883.7339715,1045.009379,1578.40239,2473.081819,3851.437869,5574.603802,4950.294791,5843.533768,7189.691229,7496.294648,7875.756953,7891.313147,5500.310382,3880.738731,4147.089716,4739.84171,4805.753718,4229.910649
Burundi,136.4639708,134.3634269,123.1175361,113.5672513,128.3367028,151.6815663,167.3764625,172.4955966,198.3528517,212.1370572,234.2355389,249.5779794,252.3624696,256.9736979,274.8578362,305.5111441,251.6514772,250.5146007,238.0343096,223.8628757,233.8375103
Belgium,23098.88651,23015.07126,25006.1914,30655.20927,35429.40779,36809.70134,38705.1068,44319.16545,48303.39796,44760.29124,44184.94635,47410.56693,44670.56068,46757.95186,47764.07151,41008.29672,42012.62272,44198.48239,47549.20805,46599.11134,45189.3669
Benin,512.673902,518.0674741,574.9297982,711.2849548,798.7443045,822.7851431,856.0549166,966.2036183,1125.426134,1088.757906,1036.534515,1130.273251,1145.140105,1251.209767,1291.410185,1076.796698,1087.287331,1136.593872,1241.825298,1219.515506,1291.040972
Burkina Faso,255.7186873,267.0975996,294.6653885,374.627358,418.3766603,457.9334308,473.4498682,535.0622795,643.404581,624.1751645,647.8360955,751.1727704,758.000427,787.4694383,792.8462374,653.3272681,688.2506963,734.996268,804.5005378,796.1152068,857.9327297
Bangladesh,418.0689421,415.0344043,413.0802826,446.3106757,475.2919302,499.4619402,509.6401899,558.0518407,634.9870697,702.2644196,781.1535777,861.7621622,883.1171296,981.8608514,1118.873808,1248.45331,1678.95323,1839.583378,1991.483267,2154.226819,2270.347535
Bulgaria,1621.242961,1770.913534,2092.957694,2719.497656,3389.707049,3899.907638,4523.050833,5885.104348,7265.735497,6988.233325,6853.002854,7849.165283,7432.478766,7681.93462,7901.785876,7074.681023,7569.478815,8366.293221,9446.700772,9879.268533,10079.20338
Bahrain,13636.41675,12868.17692,13049.90973,14222.0368,15846.50595,17959.39683,19307.50894,20976.44229,23066.45098,19355.92101,20722.07049,22514.20272,23654.36959,24744.29696,24989.43753,22634.08565,22608.45256,23742.93734,24086.30169,23552.37995,20406.50233
Bahamas,27098.15632,27486.23677,28867.0825,28327.81367,28396.01371,30279.39221,30713.79806,31472.28554,30627.32775,28552.51716,28443.88848,28005.9124,29485.86422,28768.77237,30154.73862,31699.35863,31314.84456,32371.00818,33077.39183,33872.33431,24665.09683
Bosnia and Herzegovina,1484.176057,1544.602072,1789.857692,2258.946445,2698.46718,2980.601267,3416.512376,4193.368005,5090.945825,4714.693737,4635.5102,5092.554725,4777.06692,5129.663534,5330.355078,4729.690054,4994.971623,5394.26914,6070.35298,6119.762351,6082.36673
Belarus,1276.288034,1244.373185,1479.314583,1819.766059,2378.623286,3125.810535,3847.434124,4735.657608,6377.369732,5352.583912,6033.686239,6527.173869,6953.132515,7998.125239,8341.399679,5967.052204,5039.681886,5785.670673,6360.062473,6837.717826,6555.426818
Belize,3364.491731,3417.090224,3553.121378,3677.152002,3824.927382,3916.355378,4157.193035,4290.901445,4408.382931,4196.995031,4304.111108,4441.738755,4530.604801,4575.680956,4744.108945,4805.196852,4877.670506,4909.604664,4927.194224,4983.336114,3987.796596
Bermuda,56284.16865,58883.95943,62583.1002,66111.72523,70359.31911,75882.03386,95221.85887,104287.3875,106935.4863,101407.764,101875.2841,97774.16207,98431.86518,99471.6389,98467.68399,102005.6256,106885.8785,111820.5815,113050.7369,116153.1661,107706.0398
Bolivia,997.5817508,948.8702043,904.2257919,907.5374099,967.40646,1034.311806,1218.874074,1372.628374,1715.208395,1754.209467,1955.460181,2346.337844,2609.880562,2908.200371,3081.878824,3035.971655,3076.656439,3351.124344,3548.59078,3552.068144,3137.989617
Brazil,3749.910848,3160.249345,2839.491501,3070.436419,3637.31389,4790.456566,5886.391522,7348.187963,8831.183643,8597.794335,11286.07154,13245.38737,12370.22325,12300.38671,12112.83496,8813.989806,8710.06329,9928.675897,9151.381732,8876.059836,6814.875632
Barbados,11268.42006,11209.42112,11361.51677,11699.37047,12512.57797,13822.74175,15199.39022,16770.68777,17092.31451,15885.96981,16056.11685,16459.05805,16250.01233,16452.15271,16488.52573,16558.86478,16909.88655,17404.20747,17782.87473,18480.05659,16318.74811
Brunei Darussalam,18012.50219,16472.00329,16850.39408,18560.5035,21902.02712,26105.42203,30979.96284,32663.39237,37934.67645,27956.00514,35270.64214,47055.96064,47739.55769,44740.85942,41725.86752,31164.03625,27158.40565,28571.60829,31628.47626,31085.96193,27442.95383
Bhutan,718.196337,764.4328082,845.5006721,962.0953713,1068.431811,1228.432356,1330.977444,1757.190496,1828.154677,1819.19731,2258.186435,2563.261224,2538.949519,2472.724753,2652.225654,2752.630172,2930.574923,3286.596744,3243.477437,3322.863329,3000.777986
Botswana,3522.310821,3278.016079,3190.624811,4330.972369,5073.520408,5513.331063,5521.990608,5832.737052,5713.543931,5255.776533,6434.812485,7617.310041,7050.573472,7224.912737,7495.220866,6402.910183,6982.917492,7296.092142,7503.878588,7247.429476,6348.832318
Central African Republic,251.832764,250.5761943,261.9764205,294.3213277,321.3126541,331.2948211,354.986192,404.909403,466.4723203,476.6162628,488.4217358,551.7497219,565.8012071,380.2979111,424.4491317,377.4229177,402.1916451,450.900697,475.9538139,468.1175148,481.7462966
Canada,24271.00206,23822.06012,24255.33858,28300.4631,32143.68141,36382.50792,40504.06073,44659.89514,46710.50558,40876.31015,47562.08343,52223.69611,52669.08996,52635.17496,50955.99832,43596.13554,42315.60371,45129.4293,46548.63841,46328.67184,43258.26387
Switzerland,38952.0342,39727.84667,42578.76314,49470.39713,54878.471,56546.78566,59300.61722,65359.51922,74572.23237,72083.1677,77117.12601,91254.03476,86547.67089,88109.48675,89684.70758,84776.14217,83073.28008,83352.08865,86388.40495,85334.51946,87100.41482
Channel Islands,43380.80298,41807.07902,44544.36451,48861.02563,56753.20505,58199.16055,63244.92538,74463.01592,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,5100.254133,4609.21396,4481.831255,4827.083378,6186.662716,7558.371754,9406.584485,10439.42846,10752.9723,10151.05852,12724.10406,14577.63266,15354.6184,15777.78151,14606.99672,13495.01061,13690.90746,14962.55685,15772.33348,14699.46278,13220.57076
China,959.3724836,1053.108243,1148.50829,1288.643252,1508.668098,1753.417829,2099.229435,2693.970063,3468.304602,3832.236432,4550.453108,5614.352135,6300.615118,7020.338485,7636.116601,8016.431435,8094.363367,8816.986905,9905.342004,10143.8382,10408.66976
Cote_dIvorie,1007.46739,997.4787843,1047.752265,1207.512648,1308.28782,1309.591653,1347.988824,1500.167805,1738.192101,1689.344762,1701.475702,1744.938897,1684.781586,1935.946845,2156.645883,1972.545683,2013.381448,2111.026557,2314.050958,2276.332394,2325.723705
Cameroon,681.102043,687.6481344,759.1118514,950.5648637,1090.785332,1100.174926,1147.4366,1277.516807,1439.547804,1411.474572,1352.302275,1465.145788,1403.522915,1527.751257,1604.214035,1382.50979,1413.255957,1469.4475,1585.240534,1533.095688,1537.130218
Congo Dem. Rep.,405.2162186,153.5910441,175.009951,173.7961252,194.0400026,218.3862267,255.4330432,286.3304725,327.5637218,298.6196916,334.0215777,387.082477,424.6003738,457.9637475,486.7870951,497.3170391,471.3188225,467.0742317,565.8295429,596.5605701,543.9503925
Congo Rep.,1032.137576,869.1005097,916.5880027,1028.415175,1326.596607,1835.609908,2155.406357,2265.847453,2904.124496,2345.563735,3076.556449,3562.217615,3922.868842,3884.850686,3781.515735,2448.523778,2051.666176,2170.900563,2606.615526,2369.729441,1899.778237
Colombia,2520.481089,2439.682456,2396.627127,2281.401762,2782.623185,3414.465158,3741.092837,4714.073055,5472.53653,5193.241458,6336.709474,7335.166934,8050.255372,8218.347844,8114.343921,6175.87603,5870.777957,6376.706716,6729.583332,6418.615783,5312.198556
