Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Israel,21061.48228,20316.24805,18439.64616,18991.37985,19910.61067,20585.13861,21853.14024,24952.54759,29650.77025,27780.46372,30780.02382,33775.512,32667.60687,36499.45611,37847.64994,35808.43643,37330.2618,40774.12961,42063.45313,43951.24773,44177.57122
Italy,20137.59122,20500.9544,22376.2979,27526.32246,31317.20079,32055.09208,33529.7266,37870.74751,40944.91242,37226.75719,36035.645,38649.63948,35051.52127,35560.08141,35565.72138,30242.38614,30960.73151,32406.72032,34622.16967,33673.47545,31834.97262
Jamaica,3392.123878,3437.655517,3609.203331,3480.511665,3733.798671,4103.601637,4331.292053,4623.747897,4928.126409,4335.178411,4704.04776,5111.465987,5209.859264,4989.734089,4834.284009,4907.927415,4843.7499,5070.099503,5359.993789,5369.498371,4664.530242
Jordan,1651.621798,1720.361427,1802.055064,1876.259338,2044.963723,2183.394643,2513.028732,2735.378767,3455.769953,3559.692102,3736.645462,3852.890025,3910.346894,4044.426869,4131.44735,4164.108769,4175.356602,4231.51828,4308.151074,4405.487109,4282.765825
Japan,39169.35957,34406.18246,32820.79364,35387.03742,38298.98017,37812.89502,35991.546,35779.02454,39876.30397,41308.99684,44968.15623,48760.07895,49145.28043,40898.6479,38475.39525,34960.63938,39375.47316,38834.05293,39727.1166,40458.00188,39918.16756
Kazakhstan,1229.001247,1490.92709,1658.030785,2068.123979,2874.288483,3771.278957,5291.575305,6771.414797,8458.017154,7165.223175,9070.488253,11634.0012,12386.69927,13890.63096,12807.26069,10510.77189,7714.841844,9247.581331,9812.626371,9812.595808,9121.637138
Kenya,397.4826588,395.3294716,389.5426302,429.787819,451.6687666,511.6163943,685.9544229,825.666555,902.0699578,1035.338787,1080.296184,1085.487152,1271.815383,1354.820833,1462.220052,1464.554009,1525.235192,1633.491216,1794.091175,1909.304537,1872.124026
Kyrgyz,279.6195693,308.4096116,321.7270332,380.5064324,433.2349766,476.55213,543.1107024,721.7686908,966.3936272,871.2243893,880.0377751,1123.883168,1177.974735,1282.437162,1279.769783,1121.082835,1120.666513,1242.769643,1308.140165,1374.032105,1182.5217
Cambodia,300.613679,321.1502236,338.9874773,362.3354822,408.5136388,474.1111921,539.7503289,631.5252576,745.609127,738.0547312,785.5026671,882.275614,950.880346,1013.420536,1093.495976,1162.904995,1269.591499,1385.260066,1512.126989,1643.121389,1547.511388
Kiribati,796.8032036,735.0691064,826.9168653,1015.667006,1131.152504,1214.635603,1168.473302,1374.395199,1428.134977,1312.023455,1508.789745,1724.980257,1782.924951,1710.592937,1625.9913,1535.162783,1586.344978,1648.594957,1693.950155,1512.95277,1514.591059
St. Kitts and Nevis,9565.949909,10283.0328,10650.84515,10270.60416,10942.72823,11679.40971,13614.49337,14429.55024,16142.0427,15931.87331,15888.63951,16910.57011,16564.05504,17393.42727,18789.6345,18717.42876,19542.16228,20382.77987,20567.25826,22047.88303,18440.85368
S_Korea,12256.99357,11561.24837,13165.06574,14672.85747,16496.12009,19402.50263,21743.47745,24086.41044,21350.42798,19143.85161,23087.22564,25096.26388,25466.76052,27182.73431,29249.57522,28732.23108,29288.87044,31616.8434,33436.92306,31902.4169,31597.50465
Kuwait,18440.37852,16587.24865,17846.37616,22148.37815,27011.654,35591.03713,42781.56475,45782.14857,55494.9301,37561.72593,38577.49828,48631.7834,51979.12069,49388.05338,44062.34091,29869.55275,27653.15762,29759.46747,33399.06048,32373.25111,24811.76971
Latin America & Caribbean (excluding high income),4199.341935,4025.350812,3569.395494,3602.711774,4059.980209,4856.045751,5599.171247,6539.234548,7478.332051,6863.890423,8498.597854,9824.186368,9667.271497,9815.816253,9755.448557,8203.003864,7885.57463,8699.475686,8357.124704,8165.360565,6765.532776
Lao PDR,325.1869371,326.9417867,320.0614597,362.8214135,417.9291685,475.6107962,591.000192,710.3764067,900.7387639,949.1783811,1141.235703,1378.498492,1581.62871,1831.936916,1999.958203,2140.044323,2324.400917,2455.211559,2569.093892,2613.944427,2608.982833
Lebanon,4491.641934,4422.389292,4579.459593,4576.387617,4630.790585,4575.107459,4626.853003,5207.792723,6111.327281,7354.953605,7761.641489,7675.30894,7948.685449,7928.28957,7681.657944,7643.008718,7617.689634,7776.034642,8003.827612,7527.44306,3801.792743
Liberia,306.8338642,306.7102516,306.4739396,243.0895775,286.0647253,294.8932201,336.1156743,396.6017613,478.3995401,470.9481214,513.4455667,596.8966353,675.0101918,747.8686601,739.911935,721.5810505,740.914906,721.085044,710.2659984,672.3404992,601.0630058
Libya,7142.771786,6266.489821,3703.042952,4673.145576,5800.588826,8163.00937,10207.95598,11387.08619,14311.23873,9913.651824,12162.66871,7709.940397,14721.86924,11921.90828,9017.93368,7590.442981,7687.882134,10205.32483,11482.13364,10218.04303,7614.325449
St. Lucia,5950.047485,5642.748904,5646.456535,6150.921369,6591.645501,6949.204173,7669.21347,7969.797993,8456.694632,8137.750991,8540.07098,8983.743733,9086.387955,9378.985047,9843.308534,10093.61802,10362.35158,11034.62983,11353.71523,11591.08044,8804.561089
Low income,481.4161019,468.8657927,487.9832214,518.951959,592.6675502,688.8598125,783.2660056,914.0604069,1066.750783,1057.709922,1162.622904,852.0498945,788.1957823,789.200762,821.3361813,791.7100264,764.7048854,834.4908817,699.4114352,720.474279,703.7338455
Liechtenstein,74853.93873,74287.41337,79345.75247,89859.86537,100289.243,105399.2605,114374.2465,130655.637,143264.0594,126096.6104,141192.5347,158130.4575,149010.2249,173030.2083,178864.8519,167313.2663,165642.3863,171253.9643,176499.4026,169049.1569,0
Sri Lanka,869.696285,832.8035723,867.4914868,982.195697,1065.784437,1248.698185,1435.816813,1630.388906,2037.322103,2090.401826,2799.648738,3200.861132,3350.521876,3610.289363,3819.25353,3843.780672,3886.291502,4077.043841,4059.20823,3848.212376,3694.040948
Lower middle income,623.5333879,626.3038802,658.4241313,743.2009999,846.9947942,966.9313966,1126.107368,1360.742579,1516.921042,1520.387397,1828.252092,2069.305481,2138.965153,2141.518319,2191.985872,2109.3345,2193.471208,2322.906883,2335.303125,2411.334922,2285.711107
Low & middle income,1193.112078,1186.906946,1199.695542,1332.789366,1560.39578,1832.529348,2145.015665,2613.858314,3086.455356,2979.63775,3578.022127,4167.510276,4375.13355,4570.563791,4661.974204,4366.051099,4349.147276,4718.39202,4933.697969,4993.619381,4759.776082
Lesotho,436.4881373,405.6057121,382.1896086,573.6517781,753.3759044,842.812631,904.6061298,846.5423208,889.1342855,874.7298605,1119.843641,1287.269536,1229.636232,1166.911756,1194.575627,1146.064688,1018.784872,1102.629728,1192.48432,1153.388058,1050.631634
Lithuania,3293.229979,3525.793632,4141.592702,5499.428989,6700.327192,7854.765279,9230.707981,12285.44705,14944.99665,11820.77616,11987.50841,14376.94786,14367.70942,15729.65247,16551.0182,14263.96458,15008.31324,16885.40739,19186.18128,19575.76848,20232.30204
Luxembourg,48659.59888,48440.14202,53005.73392,65689.32145,76544.91709,80988.13762,90788.80049,107475.3203,120422.1379,109419.747,110885.9914,119025.0572,112584.6763,120000.1407,123678.7021,105462.0126,106899.2935,110193.2138,117254.7404,113218.7133,116356.158
Latvia,3361.640869,3578.0019,4136.933297,5145.195232,6378.666521,7594.902384,9723.446902,14113.52913,16467.14369,12331.92855,11420.994,13338.96224,13847.33794,15007.49186,15742.39134,13786.4568,14331.75159,15695.11515,17865.03109,17926.84159,17703.95344
Macao SAR China,15835.99101,15665.29797,16424.93211,17921.10457,22568.31017,25183.13268,30121.56043,36550.50516,40810.82804,41010.06826,52473.19099,66891.28197,76572.15179,89260.7571,93022.87514,74818.94813,73545.75824,81019.47377,87526.07999,86197.36569,39403.13591
St. Martin (French part),0,0,0,0,0,0,0,0,0,0,0,20717.09321,0,0,21459.31913,0,0,0,0,0,0
Morocco,1334.943481,1339.294067,1416.488403,1725.45752,1952.902588,2018.025513,2196.01123,2499.26001,2890.360596,2866.924072,2839.926025,3046.947754,2912.658203,3121.680176,3171.699219,2875.258057,2896.722168,3035.454346,3226.98291,3235.000732,3058.69165
Monaco,82365.49236,83724.46591,90506.85951,108656.8026,123523.4932,124197.2754,134048.6219,169966.3069,185785.7259,154775.3808,150737.8925,169016.1961,157520.2194,177673.7454,189432.37,165989.5051,170028.6557,167517.0597,185978.6093,189487.1471,173688.1894
Moldova,440.6720307,507.5576584,570.9726454,682.5255088,897.4499588,1034.707058,1183.379211,1531.685476,2111.201495,1899.010117,2437.537683,2942.252807,3045.730612,3322.04998,3328.79433,2732.46073,2880.43529,3509.686829,4230.626969,4492.10574,4525.759654
Madagascar,293.6071574,334.4416177,319.2163788,368.7972369,284.4877263,319.5374751,338.7511983,438.6555158,536.3514017,467.5397834,471.9592116,531.2654321,518.1528127,541.0659437,530.8610389,467.2354316,475.9555568,515.2933234,518.401123,526.2245722,477.6130414
Maldives,2234.595861,3038.781417,3049.207981,3476.006273,3941.431136,3640.012132,4809.93374,5574.401981,6614.23618,6636.543871,7076.739821,7291.465967,7265.723399,7928.476443,8499.307148,9033.41027,9209.443564,9577.346946,10279.07998,10561.61351,6924.105745
Middle East & North Africa,3318.57082,3240.497035,3163.883187,3442.683666,3988.368112,4704.36999,5399.77715,6243.049021,7617.930158,6734.13743,7703.878573,8518.297706,8992.171694,8666.91024,8540.737206,7375.464756,7307.448457,7469.549834,7704.420769,7587.355596,6688.08728
Mexico,7157.8145,7544.568723,7593.137345,7075.369643,7484.486399,8277.671564,9068.294218,9642.680517,10016.57121,8002.972178,9271.398396,10203.4213,10241.72783,10725.18359,10928.91601,9616.645558,8744.515559,9287.849587,9686.984927,9950.217622,8431.665017
Marshall Islands,2272.678016,2389.060707,2515.624045,2457.65454,2431.166018,2471.352046,2537.717206,2646.873996,2704.463554,2662.334015,2846.065542,3046.290071,3181.6247,3246.63025,3185.261354,3199.886846,3490.998389,3672.576783,3793.550983,4073.10983,4129.850998
Middle income,1255.774331,1251.030269,1264.446679,1407.875055,1651.071685,1941.457147,2276.737255,2780.751448,3288.00379,3174.717717,3826.335329,4510.250941,4750.537744,4971.544305,5074.932484,4755.93561,4745.70858,5154.4311,5415.611006,5487.844058,5237.022473
North Macedonia,1861.898065,1823.023561,1989.135125,2440.476943,2795.899261,3072.678573,3362.968419,4079.391954,4841.251694,4584.709832,4577.688755,5098.097583,4728.308142,5241.058345,5495.735049,4861.553971,5149.589074,5450.492881,6108.740108,6070.388054,5846.465899
Mali,270.5430066,307.7058286,336.4171745,393.4067552,440.9584225,489.0228556,523.0429833,597.4798157,697.0878037,701.7120055,710.2743036,837.6057753,778.6252109,805.0339407,848.2789916,751.4728892,780.7235497,830.0214445,894.8048435,879.0431675,862.453012
Malta,10432.32812,10402.23337,11289.88984,13669.49712,15197.05671,15888.17232,16723.88418,19485.87119,22205.35681,21083.27715,21799.17426,23155.55479,22527.63676,24771.07658,26754.26845,24921.60368,25624.53727,28857.01987,31573.11656,31185.64962,28946.46268
Myanmar,146.6045788,131.7152982,128.0997018,161.0555236,193.3687658,216.3115014,240.6240142,314.2022942,460.9088892,586.1681802,746.94536,1061.344429,1134.302224,1168.165453,1210.097654,1196.743333,1136.610627,1151.114464,1250.173685,1271.111536,1450.662673
Montenegro,1627.072633,1909.598702,2106.635068,2789.159065,3380.165121,3674.617924,4425.678873,5976.394145,7367.751909,6727.107767,6688.4824,7328.932252,6586.721279,7188.862445,7387.871036,6517.189614,7033.438006,7803.362579,8850.378404,8909.890151,7694.633759
Mongolia,474.2170943,524.0540084,571.594979,646.192471,797.9777263,998.829388,1334.212724,1632.727582,2136.562402,1714.361827,2643.287083,3757.565415,4351.888461,4366.089537,4158.521471,3875.321675,3658.3903,3687.100003,4156.84697,4404.84583,4060.950518
Northern Mariana Islands,0,0,21981.78456,21379.02474,21139.06359,18763.15278,17714.63336,16988.13728,17191.1902,14669.52061,14804.24673,13496.75078,13736.97197,14091.19118,15044.9359,16314.38355,21891.18479,27584.74351,22886.67405,20659.64029,0
Mozambique,319.3596208,296.2684069,302.5452337,326.0751909,383.2702219,416.8098242,435.3340633,482.1985636,563.6496343,520.4026316,471.90436,594.5861485,657.6450363,664.0772657,673.9694763,589.8594314,428.9264503,461.4149278,503.3020092,506.8171391,448.8438914
Mauritania,676.5690224,646.1151155,639.6675829,717.8998676,803.7779156,970.8423607,1259.541505,1357.124285,1579.511548,1389.338533,1610.92063,1879.770243,1815.218939,1892.096098,1677.109019,1524.073317,1536.855615,1587.858904,1669.773476,1743.301317,1702.486959
Mauritius,3929.075495,3856.625227,4018.948897,4793.718179,5388.065784,5282.906022,5695.969327,6574.654338,8030.063005,7318.12641,8000.376432,9197.026972,9291.227619,9637.00265,10153.93822,9260.447303,9681.618567,10484.90836,11208.34382,11097.16898,8632.752859
Malawi,156.3858168,150.1489426,298.4334104,267.3990119,282.5671076,289.5552148,308.1636182,332.2590946,387.6057212,438.2118568,478.6686885,534.9510502,391.5617052,348.4298737,371.2695217,380.5969877,315.7779871,506.1372944,544.5934593,591.8470837,636.2863096
Malaysia,4043.662923,3913.429386,4165.726104,4461.847325,4952.213958,5587.02478,6209.126167,7243.456801,8474.587762,7292.494973,9040.568495,10399.37021,10817.43171,10970.1043,11319.06194,9955.242722,9817.78709,10259.30481,11380.07922,11432.82603,10412.34767
North America,35151.3296,35831.37937,36651.82911,38395.22158,40788.09354,43368.25243,45741.03259,47727.48204,48398.10295,46581.28354,48552.94241,50289.0244,51881.17089,53234.1501,54714.47093,55452.42138,56312.43488,58430.1986,61158.56356,63175.74013,61000.85526
Namibia,2185.604115,1950.648536,1808.884899,2621.700395,3464.418226,3739.531717,4059.101348,4405.410399,4212.367197,4295.387143,5394.996712,5806.748246,5942.29274,5392.094938,5469.9014,4896.61526,4546.986688,5367.114674,5588.392864,5028.295342,4157.019506
New Caledonia,16039.17388,15174.27743,16885.89613,21817.32381,25770.54099,26861.71059,29604.04382,36864.87792,37353.75078,35391.08018,37494.88437,40697.63007,37294.02726,38503.26306,39675.58194,32520.30457,32391.20197,33976.54853,36382.49553,34788.54031,34694.5504
Niger,197.8326834,208.3770599,228.2359086,268.349893,286.4900658,321.7236612,336.2819503,390.2844802,478.502559,464.057999,476.8695322,512.595335,529.7444581,552.569139,564.5967488,484.1531374,500.2149113,517.7715723,570.723922,554.0993893,567.6698923
Nigeria,567.9307221,590.381815,741.7474939,795.3862287,1007.874342,1268.383462,1656.424794,1883.461388,2259.114059,1911.607866,2280.437337,2487.598017,2723.822191,2961.549422,3098.985791,2687.480056,2176.002772,1968.565398,2027.778549,2229.858652,2097.092473
Nicaragua,1007.499839,1034.551387,1000.936715,1005.733044,1080.269119,1162.289685,1226.633987,1327.947389,1499.25762,1444.36951,1503.872231,1655.8105,1760.460308,1811.636803,1934.062922,2049.851666,2107.57406,2159.161926,2014.575189,1924.471816,1900.043594
Netherlands,26214.49855,26896.54811,29343.245,35750.97466,40436.61823,41994.71353,44900.93814,51799.20855,57879.94376,52722.21306,50999.74512,54230.3129,50070.1416,52198.89756,52900.53742,45193.40322,46039.10593,48675.22234,53044.53244,52476.27325,52396.03221
Norway,38131.46061,38542.7151,43084.47247,50134.89077,57603.83602,66810.47852,74148.32008,85139.96045,96944.09561,79977.69708,87693.79007,100600.5624,101524.1419,102913.4508,97019.18275,74355.51586,70460.56053,75496.75406,82267.80932,75719.7529,67329.67779
Nepal,229.4903926,246.7255581,244.7208435,252.4023518,286.1576726,315.80563,346.9453313,391.3800572,470.455459,478.1732528,592.4012071,797.8139473,804.1416073,823.3598746,844.8531249,901.7496077,899.523581,1048.453755,1178.525957,1194.957236,1147.471971
Nauru,0,0,0,0,0,0,0,0,0,0,4752.175082,6560.27487,9562.667866,9648.495655,10171.48073,8341.012278,9521.042101,10339.38548,11614.66508,11029.73558,10580.26819
New_Zealand,13641.10272,13882.85683,16874.18749,21913.70817,25420.23488,27751.06547,26654.5932,32479.98174,31252.96256,28209.36233,33676.77412,38387.62708,39973.38076,42976.64959,44572.89875,38630.72659,40058.19616,42924.9956,43250.44097,42865.23364,41596.5055
OECD members,23007.48107,22620.53002,23429.8991,26019.12309,28756.33103,30185.62364,31612.01388,34354.35662,36190.52047,33615.97798,35025.50921,37486.55175,37217.70866,37477.67902,37993.05368,35590.73172,36037.76772,37377.57018,39306.7924,39478.31197,38116.42222
Oman,8601.271944,8475.968643,8626.965234,9066.312371,10126.13774,12377.08001,14420.51204,15838.46956,22139.74071,16823.79498,21369.35297,23837.31094,24988.01259,23888.62658,23017.93398,18444.927,16772.73921,17329.18546,18947.3665,17700.70349,14485.38612
Other small states,4370.08818,4274.292534,4534.112424,5547.415538,6753.972105,8008.480303,9187.777369,10954.53824,13045.05172,10905.7047,12378.48615,14896.65861,15212.73848,15553.00274,15733.94809,12780.72639,12385.43331,13215.42974,14368.92697,13799.29553,11792.06642
Pakistan,576.1955804,544.4942514,534.3039007,599.3763305,687.8364127,748.9225893,836.8605262,908.0950852,990.8466112,957.9956753,987.409712,1164.978823,1198.117637,1208.91771,1251.175719,1356.667831,1540.184503,1631.531909,1678.04315,1481.813864,1359.514522
Panama,4060.317793,4046.429148,4126.232386,4267.292687,4592.152614,4916.907612,5348.884253,6166.187862,7154.274496,7576.140467,8082.01618,9358.26813,10722.26148,11889.09507,12796.07404,13630.30115,14343.98026,15146.40851,15544.99908,15774.25495,12509.83529
Peru,1955.588006,1941.475342,2021.240038,2145.643889,2417.034363,2729.499172,3154.331349,3606.070689,4220.616378,4196.311627,5082.353706,5869.323882,6528.971775,6756.752996,6672.877373,6229.100674,6204.996457,6710.507602,6958.497262,7023.077526,6117.493571
Philippines,1072.801752,990.5659913,1036.158331,1048.008205,1121.490006,1244.348741,1452.438089,1744.639979,1998.02692,1904.196388,2217.472153,2450.735694,2694.305109,2871.429701,2959.645435,3001.043182,3073.654686,3123.245642,3252.110274,3485.340844,3301.218603
Palau,7657.951214,8092.207323,8307.957438,7771.209368,8317.113942,9626.612414,9843.049373,10381.42387,10598.88283,10252.75014,10356.63362,11094.83322,12044.10547,12561.33614,13711.7617,15876.46193,16835.986,16019.98989,15895.2599,15232.48708,14243.86469
Papua New Guinea,602.1864903,515.6847804,491.8343081,568.2463486,618.0367032,749.1865116,1256.979648,1401.949447,1672.951024,1626.312855,1949.351185,2406.910967,2790.676303,2729.888751,2920.782986,2679.346579,2509.629637,2695.249009,2801.371393,2820.306397,2757.011019
Poland,4501.454067,4991.244358,5207.171421,5701.602212,6681.386472,8021.505743,9035.410467,11254.51739,13996.02515,11526.05589,12613.011,13879.56099,13097.27085,13696.4663,14271.30585,12578.49547,12447.43959,13864.68176,15468.48222,15732.20313,15742.45373
Puerto_Rico,16192.12697,18123.1987,18731.45939,19557.12025,20988.99233,21959.3227,22935.94116,23664.88235,24898.33459,25768.72589,26435.74879,27278.88305,27944.73389,28513.16574,28981.45733,29763.4883,30627.1634,31108.76057,31604.70151,32850.54861,31429.86612
N_Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,11526.37207,11734.76497,12936.69282,15797.78213,18064.15809,18780.12751,19839.45405,22811.05648,24949.04136,23151.21541,22520.64231,23217.2955,20563.7136,21653.19598,22103.70097,19250.10654,19991.97249,21490.42986,23562.55452,23330.81729,22194.56611
Paraguay,1663.604939,1565.054289,1300.852367,1365.416418,1679.49512,1843.634108,2271.088885,2976.84448,4047.702445,3626.747293,4342.065845,5326.358284,5185.141549,5936.975959,6118.31811,5413.776021,5324.609068,5678.869972,5782.78455,5383.574422,4967.687212
West Bank and Gaza,1476.17185,1335.553195,1156.217473,1257.69857,1422.190886,1543.701414,1570.1044,1664.245717,2035.202341,2191.781787,2557.075624,2880.798437,3067.438727,3315.297539,3352.112595,3272.154324,3527.613824,3620.360487,3562.330943,3656.858271,3233.568638
French Polynesia,14350.61586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19500.10086,20020.09386,21127.06433,22094.75746,21512.2733,20182.5845
Qatar,29976.16763,28517.22084,30214.67042,34517.60321,42124.94084,51455.95094,59530.561,65421.37692,80234.19083,59094.65918,67403.08768,82409.94164,85075.98654,85050.68435,83858.34046,63039.11263,57162.96801,59124.86727,65907.94843,62087.97413,50124.38594
Romania,1659.90764,1825.179805,2119.882673,2679.41191,3494.944517,4617.929016,5757.496429,8360.166321,10435.04398,8548.118672,8214.076893,9099.217539,8507.104775,9547.852151,10043.67745,8969.148921,9548.587403,10807.00917,12398.98198,12899.34611,12956.56625
Russia,1771.594116,2100.352539,2377.529541,2975.125244,4102.364746,5323.462891,6920.188965,9101.254883,11635.27246,8562.813477,10674.99609,14311.08398,15420.875,15974.64453,14095.64844,9313.013672,8704.898438,10720.33301,11287.36035,11536.25098,10161.98242
Rwanda,260.6076547,238.788134,233.1575044,249.7507031,273.6446627,331.7045113,366.9116293,438.6813363,543.5680119,579.7532368,609.7542974,668.5278483,725.2049521,722.9290868,742.9662434,751.1105055,744.7943858,772.2948846,783.8127901,820.1772393,786.3018148
South Asia,453.2376041,455.8580189,469.712186,538.711136,613.9477974,691.6926172,774.8637986,959.3051264,959.4612494,1041.980211,1257.499508,1368.916304,1366.059425,1383.316909,1496.014996,1543.048131,1696.739629,1911.329754,1944.006635,1987.56834,1875.441391
Saudi Arabia,9171.331476,8684.645762,8695.396483,9609.968686,11185.13704,13791.45476,15384.73836,16516.63178,20078.26007,16113.14371,19262.5476,23745.88058,25243.602,24845.12466,24464.21256,20627.92178,19878.76817,20802.46179,24228.83904,23450.56202,20203.66888
Sudan,366.1727295,456.6242371,512.4412842,586.7532349,711.9219971,914.1665039,1143.932251,1461.315918,1551.085815,1358.527222,1683.211914,1947.184204,1746.031982,1781.010254,2022.724243,2184.542236,2583.447266,3178.314209,773.5070801,755.3289795,615.4620972
Senegal,613.7323845,648.4414733,681.3118508,831.8310403,932.1680954,992.6880581,1027.731441,1197.409561,1403.949385,1308.937808,1271.583281,1366.774501,1317.779802,1372.665779,1396.657339,1219.249415,1269.903294,1361.701972,1458.081584,1435.830367,1462.808169
Singapore,23852.32703,21700.02005,22159.68886,23730.15245,27608.53737,29961.26328,33769.15416,39432.93835,40007.46926,38927.20688,47236.96023,53890.42873,55546.48854,56967.42579,57562.53079,55646.61875,56860.41324,61150.7272,66859.33834,65831.18943,60729.45035
Solomon Islands,1017.399663,965.9354997,795.5403154,788.6333562,866.9902759,1014.723188,1119.580863,1260.251271,1389.056107,1428.616209,1604.148888,1938.775694,2141.914041,2248.727594,2274.966251,2167.155394,2225.475204,2332.898555,2411.897904,2344.048976,2250.601164
Sierra Leone,138.6987225,229.3756595,252.396007,266.4469054,266.5693713,292.3490663,323.3890184,360.3716605,408.4810085,391.200943,401.8348761,448.3376621,566.3782351,716.8358269,714.6997957,588.2288628,501.4151655,496.6822949,533.9915333,521.7548367,509.376594
El Salvador,2001.540049,2072.301591,2124.10182,2209.497245,2278.43033,2428.568879,2631.822739,2786.157774,2933.39424,2858.483344,2983.228806,3266.010978,3428.409332,3509.526536,3589.042885,3705.579704,3805.995686,3910.254403,4052.624775,4167.730939,3798.636521
San Marino,36604.49338,38730.80304,41464.74643,51270.12923,59558.77272,60900.54329,64261.03273,72697.70599,78643.55065,66703.21823,60254.7763,57297.51331,49988.46363,51570.98395,50817.33082,42662.90241,43828.23155,45399.02898,48996.59299,47727.13489,45515.7577
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,350.1681618,374.1147807,386.437817,389.8220615,384.4634014,389.8313955,419.3948077,438.2551656
Serbia,914.7857199,1727.281196,2283.846685,3005.426352,3502.802924,3720.479155,4382.617279,5848.476405,7101.040141,6169.114195,5735.422857,6809.159804,6015.945228,6755.073675,6600.056809,5588.980728,5765.200762,6292.543629,7252.401858,7417.203649,7730.691746
South Sudan,0,0,0,0,0,0,0,0,1669.493752,1337.882231,1535.706892,1516.404378,1179.739711,1779.470365,1322.820364,1119.651437,0,0,0,0,0
Sub-Saharan Africa,635.8943,594.4344443,629.4554256,772.7697611,935.7649348,1082.214162,1242.000093,1400.862669,1548.955371,1449.791957,1670.554032,1830.882645,1852.840892,1913.737226,1928.534202,1692.674294,1538.244417,1622.982614,1606.863419,1618.920771,1501.779422
Small states,4391.700956,4346.305227,4584.69994,5404.044143,6401.585154,7494.243736,8558.77305,10045.26452,11836.66149,9923.057742,11170.41723,13210.26675,13523.41851,13820.56344,14001.86934,11746.83968,11348.57057,12064.64049,13015.08585,12615.13255,10787.66873
Sao Tome and Principe,0,524.6698721,577.628404,678.7379639,745.3202999,866.5049956,883.0970413,896.8677913,1098.755219,1067.908053,1090.260763,1254.541598,1330.620114,1564.768548,1770.467688,1584.775657,1700.097997,1813.807434,1953.513257,1987.579702,2157.840446
Suriname,2012.281651,1750.576737,2267.753984,2611.377493,3006.183233,3590.648183,5197.747907,5744.759727,6831.983622,7408.360786,8255.874872,8263.203803,9200.974786,9402.164419,9471.922001,9168.237157,5872.789429,6295.560562,6938.086981,6853.693411,4916.605666
Slovakia,5426.624281,5722.168183,6564.696314,8731.937368,10691.44655,11690.11347,13170.78498,16106.06044,18753.58494,16597.20846,16841.76774,18430.1298,17429.82975,18208.41759,18655.79011,16342.21626,16512.29299,17538.04858,19389.98216,19303.54566,19266.51357
Slovenia,10201.30354,10479.75963,11777.15566,14849.03724,17233.13856,18098.90854,19672.96556,23817.88673,27595.59997,24792.12798,23532.48085,25128.01504,22641.80512,23503.28249,24247.17332,20890.16643,21678.35947,23514.02546,26116.85636,25942.95477,25489.50023
Sweden,29624.91267,27247.85773,29899.19525,37321.7979,42821.67314,43437.06312,46593.60216,53700.00534,56152.55234,46946.96027,52869.04429,60755.75955,58037.82132,61126.9432,60020.36046,51545.48361,51965.15715,53791.50873,54589.06039,51939.42974,52300.2062
Eswatini,1728.710498,1521.769075,1405.448706,2148.632475,2699.130742,3083.838141,3176.691168,3327.445134,3137.387266,3385.858846,4168.489403,4496.613361,4527.565039,4230.171266,4039.159341,3680.349473,3425.531957,3914.418484,4107.094431,3889.851226,3434.721798
Sint Maarten (Dutch part),0,0,0,0,0,0,0,0,0,0,0,27997.28983,28460.33262,27942.88054,33043.68838,32274.89055,31616.6817,29369.05683,28988.25921,0,0
Seychelles,7578.851053,7663.13708,8331.261997,8524.961236,10176.65871,11092.51074,12014.39987,12154.82994,11122.86207,9706.95606,10804.7233,12189.06375,11998.41987,14764.91886,15188.18905,15157.50183,15740.11063,16416.72607,16910.66792,17252.02078,12193.88687
Syrian Arab Republic,4910.777748,5175.261944,5300.582812,5494.839654,6330.740183,7309.107876,8069.564879,9056.634662,10554.08378,10589.59905,11820.60778,3491.952576,2158.525351,1151.901597,1179.858296,979.1444387,713.029204,955.836559,1265.60619,0,0
Turks and Caicos Islands,0,16625.48892,15785.96255,16384.90243,18181.09289,20533.18761,24559.1437,25457.97782,27650.11635,22020.34729,21029.69594,21839.00902,21345.02598,21715.31397,23778.51913,26183.88504,28241.47929,27545.12879,29553.1367,31350.86663,23879.92665
Chad,166.1757089,197.1460821,221.4165369,292.6008802,454.3363652,658.566973,710.3963987,799.603742,929.3827519,803.6863884,892.5688697,984.7361305,967.3529488,979.8117426,1020.287979,776.0197523,693.4497674,665.9488849,726.1510071,709.5400432,652.3492096
Togo,302.958592,292.8231035,328.3981073,396.9205798,413.3298662,406.562366,408.0571173,449.7382505,546.3503702,540.6087126,534.0447826,587.0974928,571.8067239,621.3988536,640.9342196,570.9099672,803.1518934,830.7452767,901.5230169,893.3524541,914.9507925
Thailand,2007.735271,1893.264239,2096.187802,2359.116831,2660.126835,2894.062656,3369.543198,3973.017172,4379.658787,4213.006654,5076.339872,5492.1215,5860.581471,6168.261356,5951.883487,5840.053067,5993.305516,6593.818352,7298.947146,7814.384431,7158.766684
